PowerheadSKU,AttachmentModel,AttachmentSTIHLSKU,AttachmmentName,AK10_Compatible,AK10_RuntimeMin,AK10_RuntimeMax,AK20_Compatible,AK20_RuntimeLow,AK20_RuntimeHigh,AK30_Compatible,AK30_RuntimeLow,AK30_RuntimeHigh,AK30S_Compatible,AK30S_RuntimeLow,AK30S_RuntimeHigh,AP200S_Compatible,AP200S_RuntimeLow,AP200S_RuntimeHigh,AP300S_Compatible,AP300S_RuntimeLow,AP300S_RuntimeHigh,AP500S_Compatible,AP500S_RuntimeLow,AP500S_RuntimeHigh,AR2000L_Compatible,AR2000L_RuntimeLow,AR2000L_RuntimeHigh,AR3000L_Compatible,AR3000L_RuntimeLow,AR3000L_RuntimeHigh,RuntimeNote
KMA120R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,BG-KM,4606 740 5001 US,BG-KM Blower,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FSS-KM,FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,14,28,TRUE,22,45,TRUE,28,54,TRUE,80,160,TRUE,115,200,
KMA135R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,BG-KM,4606 740 5001 US,BG-KM Blower,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FSS-KM,FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,16,32,TRUE,20,40,TRUE,,,TRUE,,,
KMA200R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,BG-KM,4606 740 5001 US,BG-KM Blower,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FSS-KM,FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
